"Dataset sintético SmartX - 2,200 casos separados por entrenamiento, validación y prueba",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Qué incluye este archivo,,,,
entrenamiento,"Hoja principal con 1,540 casos sintéticos para entrenamiento, mezclados por familia clínica, enfermedad y registros de ruido.",,,
validacion,"Hoja con 330 casos sintéticos para validación, con distribución objetivo equivalente y registros de ruido proporcionales.",,,
prueba,"Hoja con 330 casos sintéticos para prueba final, separada del entrenamiento y la validación, con ruido proporcional.",,,
etiquetas_entrenamiento,"Tabla con patient_id, enfermedad simulada y gravedad esperada de la IA para la hoja de entrenamiento.",,,
etiquetas_validacion,"Tabla con patient_id, enfermedad simulada y gravedad esperada de la IA para la hoja de validación.",,,
etiquetas_prueba,"Tabla con patient_id, enfermedad simulada y gravedad esperada de la IA para la hoja de prueba.",,,
diccionario_variables,"Resumen técnico de las 20 variables del prototipo, con tipo de dato, catálogo y justificación.",,,
catalogos,Listas de apoyo para validaciones y captura de variables categóricas.,,,
distribucion_objetivo,Resumen de la distribución de enfermedades y gravedad usada para construir los tres datasets.,,,
referencias_clinicas,Patrones sintomáticos y URLs consultadas para respaldar la simulación de casos.,,,
,,,,
,,,,
Notas de uso,,,,
1.,Todos los registros son sintéticos. No corresponden a pacientes reales.,,,
2.,Las combinaciones de síntomas fueron simuladas a partir de patrones clínicos frecuentes y simplificadas al subconjunto de variables disponible.,,,
3.,La enfermedad simulada y la gravedad esperada se guardan en hojas separadas para evitar fuga de información durante el entrenamiento.,,,
4.,"Las hojas de validación y prueba conservan la distribución objetivo, pero no reutilizan registros del entrenamiento.",,,
5.,"Se añadieron 200 registros de ruido intencional (inconsistentes o contradictorios) distribuidos proporcionalmente entre entrenamiento, validación y prueba.",,,
6.,"Los registros de ruido conservan una etiqueta de gravedad (verde, amarillo o rojo) para mantener utilizable el conjunto supervisado.",,,
Distribución de gravedad total,,,,
Entrenamiento,Verde: 490,Amarillo: 560,Rojo: 350,
Validación,Verde: 106,Amarillo: 120,Rojo: 74,
Prueba,Verde: 106,Amarillo: 120,Rojo: 74,
Total global,Verde: 702,Amarillo: 800,Rojo: 498,Total: 2000
